#,page,category,english_source,translation_zh-Hans,APPROVED (y/n),CORRECTION (write the corrected text here),reviewer_notes,key
1,calculators.2012-impairment-guidelines-point-system,citation,2012 Impairment Guidelines point system (§S11.4–S11.7) for cervical and lumbar nerve root SLU. The IME-friendly chart with citations on every result.,针对颈椎和腰椎神经根 SLU 的 2012 年损伤指南评分系统（§S11.4–S11.7）。适合 IME 使用的图表，每项结果均附带引用依据。,,,,calculators.2012-impairment-guidelines-point-system
137,tools.work-search,citation,Stay compliant with WCB requirements to help protect your benefits.,遵守 WCB 的要求，帮助保障您的赔偿金。,,,,tools.work-search.stay-compliant-with-wcb-requirements
138,worker,citation,Average Weekly WageWCL §14,平均周工资WCL §14,,,,worker.average-weekly-wage-wcl-14
139,worker,filing citation,File your Form C-3 — the form that opens your WCB case — guided field by field.,提交您的 C-3 表格 — 这是开启您 WCB 案件的表格 — 逐项引导填写。,,,,worker.file-your-form-c-3
140,worker,citation,Form C-3 · ClaimStep 3 / 4,C-3 表格 · 索赔第 3 / 4 步,,,,worker.form-c-3-claim-step
141,worker,deadline filing citation,"Report the injury, file the C-3, open your WCB case within the deadlines.",报告受伤情况，提交 C-3 表格，在截止日期前开启您的 WCB 案件。,,,,worker.report-the-injury-file-the
142,worker,citation,"Search the NYS WCB's authorized-provider directory by location, specialty, and body part — so your treatment actually counts toward your claim.",按地点、专科和身体部位搜索纽约州 WCB 授权医疗提供者名录 — 确保您的治疗真正计入索赔。,,,,worker.search-the-nys-wcb-s
143,worker,citation,Search the WCB-authorized provider directory so your treatment counts toward your claim.,搜索 WCB 授权医疗提供者名录，确保您的治疗计入索赔。,,,,worker.search-the-wcb-authorized-provider
144,worker,citation,"Section 32 settlements, closing your case, and what to negotiate.",Section 32 和解协议、结案，以及需要协商的事项。,,,,worker.section-32-settlements-closing-your
145,worker,citation,"SLU is a permanent award for extremity injuries (arms, legs, hands, feet, eyes, ears, fingers, toes) under WCL §15(3). The award equals your weekly rate × the statutory weeks for that body part × the percentage of loss assigned to your injury. More on SLU here.",SLU 是依据 WCL §15(3) 针对肢体伤害（手臂、腿、手、脚、眼睛、耳朵、手指、脚趾）的永久性赔偿。赔偿金额等于您的每周费率 × 该身体部位的法定周数 × 您受伤所判定的功能丧失百分比。了解更多关于 SLU 的信息。,,,,worker.slu-is-a-permanent-award
146,worker,deadline citation,"The C-3 is what opens your WCB case — and the deadlines are strict. Comp Buddy walks you through it field by field in plain English, so nothing gets missed.",C-3 表格是开启您 WCB 案件的关键 — 而且截止日期非常严格。Comp Buddy 会逐项引导您填写，用简明的语言，确保不遗漏任何内容。,,,,worker.the-c-3-is-what
147,worker,citation,"Workers' comp reimburses your fares, mileage, and prescriptions going to and from treatment — most workers never claim it. Scan a receipt, log a trip, and Comp Buddy builds your C-257.",工伤赔偿会报销您往返治疗的车费、里程和处方药费用 — 但大多数工人从未申请过。扫描收据、记录一次出行，Comp Buddy 就会为您生成 C-257 表格。,,,,worker.workers-comp-reimburses-your-fares
148,worker,citation,"Your AWW under WCL §14, your comp rate, weekly benefit payments.",根据 WCL §14 计算的 AWW、您的赔偿费率、每周赔偿金支付。,,,,worker.your-aww-under-wcl-14
149,worker,citation,"Your weekly check is two-thirds of your Average Weekly Wage. Our free calculator runs all four statutory methods under WCL §14 — and shows the number, cited.",您的每周支票为您平均周工资的三分之二。我们的免费计算器会运行 WCL §14 下的全部四种法定计算方法 — 并显示带引用依据的数字。,,,,worker.your-weekly-check-is-two
150,worker,citation,"Your weekly indemnity rate is two-thirds of your Average Weekly Wage (AWW), capped at the statutory maximum for your date of injury. AWW is calculated under WCL §14 using your earnings in the year before the injury — multiple statutory methods may apply depending on your work pattern. Our free AWW calculator shows you the number.",您的每周赔偿费率为您平均周工资（Average Weekly Wage，AWW）的三分之二，并以您受伤日期对应的法定最高额为上限。AWW 依据 WCL §14 计算，使用您受伤前一年的收入 — 根据您的工作模式，可能适用多种法定计算方法。我们的免费 AWW 计算器会为您计算出具体数字。,,,,worker.your-weekly-indemnity-rate-is
